mol_title,mol_index,PRIMARY_som,element
cholic_acid,396,28,C
cholic_acid,396,29,O
cibenzoline,397,17,C
cibenzoline,397,18,C
cj_12_458,398,32,C
clopidogrel,399,3,C
clotiazepam,400,12,C
clotiazepam,400,19,C
coumarin,401,7,C
coumarin,401,8,C
cyamemazine,402,22,C
cyamemazine,402,23,C
dapsone,403,1,N
dapsone,403,15,N
delta9_tetrahydrocannabinol,404,16,C
deoxypodophyllotoxin,405,11,C
deoxypodophyllotoxin,405,26,C
deoxypodophyllotoxin,405,27,C
deoxypodophyllotoxin,405,28,C
deoxypodophyllotoxin,405,29,C
diazinon,406,1,P
diazinon,406,5,S
dibenzo_a_h_anthracene,407,3,C
dibenzo_a_h_anthracene,407,4,C
dibenzo_a_h_anthracene,407,10,C
dibenzo_a_h_anthracene,407,11,C
dibenzo_a_l_pyrene,408,8,C
dibenzo_a_l_pyrene,408,17,C
dibenzo_a_l_pyrene,408,18,C
dibenzylfluorescein,409,16,C
dibenzylfluorescein,409,33,C
diphenhydramine,410,8,C
diphenhydramine,410,9,C
diuron,411,10,C
diuron,411,11,C
efavirenz,412,18,C
ethanol,413,2,C
ethinylestradiol,414,21,C
ethylmorphine,415,19,C
etizolam,416,13,C
etizolam,416,21,C
fk_506_M1,417,14,C
ibogaine,418,11,C
indiplon,419,21,C
ipriflavone,420,2,C
jpc_2056,421,5,N
jpc_2056,421,12,C
licofelone,422,26,C
limonene,423,10,C
melatonin,424,10,C
meperidine,425,11,C
mesoridazine,426,14,S
methoxychlor,427,20,C
methoxychlor,427,21,C
methoxychlor_bis_OH,428,12,C
methoxychlor_bis_OH,428,13,C
methoxychlor_bis_OH,428,14,C
methoxychlor_bis_OH,428,15,C
metoclopramide,429,18,C
metoclopramide,429,17,C
metolachlor,430,19,C
mk_0457,431,21,C
ml_3403,432,1,S
ml_3603,433,1,S
ml_3603,433,2,O
morphine,434,20,C
muraglitazar,435,14,C
nelfinavir,436,39,C
nicotine,437,9,C
nor_laam,438,20,C
nordiazepam,439,12,C
norverapamil,440,24,C
o-phenylphenol,441,9,C
ochratoxin_a,442,6,C
olanzapine,443,19,N
perhexiline,444,15,C
perhexiline,444,16,C
phenanthrene,445,4,C
phenanthrene,445,5,C
pioglitazone,446,2,C
pranidipine,447,13,N
pranidipine,447,1,C
pregnenolone,448,12,C
proguanil,449,3,N
proguanil,449,7,C
propofol,450,12,C
prostaglandin_H2,451,8,C
prostaglandin_H2,451,9,C
ps_15,452,7,N
ps_15,452,14,C
quetiapine,453,7,S
reduced_diclofenac,454,13,C
reduced_dolasetron,455,16,N
rosiglitazone,456,23,C
safrole,457,1,C
sertindole,458,22,C
sibutramine,459,13,C
sibutramine,459,14,C
simvastatin_hydroxy_acid,460,22,C
simvastatin_hydroxy_acid,460,15,C
styrene,461,3,C
styrene,461,4,C
tamarixetin,462,23,C
tangeretin_T27,463,23,C
tangeretin_T27,463,24,C
tegafur,464,7,C
temazepam,465,10,C
tetranor,466,10,C
theophylline,467,12,C
ticlopidine,468,4,S
tirilazad,469,23,C
tpa023,470,19,C
tpa023,470,20,C
tpa023,470,21,C
tpa023,470,28,C
urporphyrinogen,471,29,C
urporphyrinogen,471,30,C
urporphyrinogen,471,31,C
urporphyrinogen,471,32,C
vicriviroc,472,5,C
voreloxin,473,8,C
voreloxin,473,9,C
voreloxin,473,26,C
voreloxin,473,28,C
warfarin-r,474,7,C
warfarin-s,475,21,C
